doc_id,sentence_id,token_id,token,lemma,pos,tag,head_token_id,dep_rel,entity,nounphrase,whitespace
1990,1,1,"

","

",SPACE,_SP,17,dep,,,FALSE
1990,1,2,Mr.,Mr.,PROPN,NNP,3,compound,,beg,TRUE
1990,1,3,President,President,PROPN,NNP,1,appos,,end_root,FALSE
1990,1,4,",",",",PUNCT,",",3,punct,,,TRUE
1990,1,5,Mr.,Mr.,PROPN,NNP,6,compound,,beg,TRUE
1990,1,6,Speaker,Speaker,PROPN,NNP,3,conj,PERSON_B,end_root,FALSE
1990,1,7,",",",",PUNCT,",",6,punct,,,TRUE
1990,1,8,Members,Members,PROPN,NNP,6,conj,,beg_root,TRUE
1990,1,9,of,of,ADP,IN,8,prep,,,TRUE
1990,1,10,the,the,DET,DT,13,det,ORG_B,beg,TRUE
1990,1,11,United,United,PROPN,NNP,12,compound,ORG_I,mid,TRUE
1990,1,12,States,States,PROPN,NNP,13,compound,ORG_I,mid,TRUE
1990,1,13,Congress,Congress,PROPN,NNP,9,pobj,,end_root,FALSE
1990,1,14,:,:,PUNCT,:,17,punct,,,TRUE
1990,1,15,"

","

",SPACE,_SP,17,dep,,,FALSE
1990,1,16,I,I,PRON,PRP,17,nsubj,,beg_root,TRUE
1990,1,17,return,return,VERB,VBP,17,ROOT,,,TRUE
1990,1,18,as,as,ADP,IN,17,prep,,,TRUE
1990,1,19,a,a,DET,DT,21,det,,beg,TRUE
1990,1,20,former,former,ADJ,JJ,21,amod,,mid,TRUE
1990,1,21,President,President,PROPN,NNP,18,pobj,,end_root,TRUE
1990,1,22,of,of,ADP,IN,21,prep,,,TRUE
1990,1,23,the,the,DET,DT,24,det,,beg,TRUE
1990,1,24,Senate,Senate,PROPN,NNP,22,pobj,ORG_B,end_root,TRUE
1990,1,25,and,and,CCONJ,CC,21,cc,,,TRUE
1990,1,26,a,a,DET,DT,28,det,,beg,TRUE
1990,1,27,former,former,ADJ,JJ,28,amod,,mid,TRUE
1990,1,28,Member,Member,PROPN,NNP,21,conj,,end_root,TRUE
1990,1,29,of,of,ADP,IN,28,prep,,,TRUE
1990,1,30,this,this,DET,DT,32,det,,beg,TRUE
1990,1,31,great,great,ADJ,JJ,32,amod,,mid,TRUE
1990,1,32,House,House,PROPN,NNP,29,pobj,ORG_B,end_root,FALSE
1990,1,33,.,.,PUNCT,.,17,punct,,,TRUE
1990,2,1,And,and,CCONJ,CC,8,cc,,,TRUE
1990,2,2,now,now,ADV,RB,8,advmod,,,FALSE
1990,2,3,",",",",PUNCT,",",8,punct,,,TRUE
1990,2,4,as,as,ADP,IN,8,prep,,,TRUE
1990,2,5,President,President,PROPN,NNP,4,pobj,,beg_root,FALSE
1990,2,6,",",",",PUNCT,",",8,punct,,,TRUE
1990,2,7,it,it,PRON,PRP,8,nsubj,,beg_root,TRUE
1990,2,8,is,be,AUX,VBZ,8,ROOT,,,TRUE
1990,2,9,my,my,PRON,PRP$,10,poss,,beg,TRUE
1990,2,10,privilege,privilege,NOUN,NN,8,attr,,end_root,TRUE
1990,2,11,to,to,PART,TO,12,aux,,,TRUE
1990,2,12,report,report,VERB,VB,10,acl,,,TRUE
1990,2,13,to,to,ADP,IN,12,prep,,,TRUE
1990,2,14,you,you,PRON,PRP,13,pobj,,beg_root,TRUE
1990,2,15,on,on,ADP,IN,12,prep,,,TRUE
1990,2,16,the,the,DET,DT,17,det,,beg,TRUE
1990,2,17,state,state,NOUN,NN,15,pobj,,end_root,TRUE
1990,2,18,of,of,ADP,IN,17,prep,,,TRUE
1990,2,19,the,the,DET,DT,20,det,,beg,TRUE
1990,2,20,Union,Union,PROPN,NNP,18,pobj,,end_root,FALSE
1990,2,21,.,.,PUNCT,.,8,punct,,,TRUE
1990,3,1,"

","

",SPACE,_SP,4,dep,,,FALSE
1990,3,2,Tonight,tonight,NOUN,NN,4,npadvmod,,,TRUE
1990,3,3,I,I,PRON,PRP,4,nsubj,,beg_root,TRUE
1990,3,4,come,come,VERB,VBP,4,ROOT,,,TRUE
1990,3,5,not,not,PART,RB,7,neg,,,TRUE
1990,3,6,to,to,PART,TO,7,aux,,,TRUE
1990,3,7,speak,speak,VERB,VB,4,xcomp,,,TRUE
1990,3,8,about,about,ADP,IN,7,prep,,,TRUE
1990,3,9,the,the,DET,DT,10,det,,beg,TRUE
1990,3,10,state,state,NOUN,NN,8,pobj,,end_root,TRUE
1990,3,11,of,of,ADP,IN,10,prep,,,TRUE
1990,3,12,the,the,DET,DT,13,det,,beg,TRUE
1990,3,13,Government,Government,PROPN,NNP,11,pobj,,end_root,FALSE
1990,3,14,",",",",PUNCT,",",7,punct,,,TRUE
